,food,ingredients,instructions,ingredients_clean,instructions_clean,ingredients_instructions,ingredients_instructions_clean
320,Ginisang Togue Recipe,"12 ounces mung bean sprout, 8 ounces tofu extra firm, 1 piece carrot julienne, 12 pieces shrimp head and scales removed, 1 piece tomato cubed, 1 piece onion chopped, 4 cloves garlic minced, 1 piece red bell pepper cut into strips, 1 piece green bell pepper cut into strips, 2 tablespoons oyster sauce, Ground black pepper to taste, 1 1/4 cups cooking oil","Fry the tofu until color turns golden brown then set aside. (slice the tofu into cubes)
Sauté the garlic, onion, and tomato.
Once the onion and tomato softens, add the shrimp. Saute for 1 minute.
Add the tofu. Cook for 30 seconds.
Add the mung bean sprouts and carrot. Saute for 1 minute.
Add the bell peppers. Cook for another minute.
Season with oyster sauce and ground black pepper.
Serve hot with rice. Share and enjoy!",mung bean sprout firm carrot julienne shrimp head scale tomato onion bell pepper strip bell pepper strip oyster sauce ground pepper oil,turn slice soften,"12 ounces mung bean sprout, 8 ounces tofu extra firm, 1 piece carrot julienne, 12 pieces shrimp head and scales removed, 1 piece tomato cubed, 1 piece onion chopped, 4 cloves garlic minced, 1 piece red bell pepper cut into strips, 1 piece green bell pepper cut into strips, 2 tablespoons oyster sauce, Ground black pepper to taste, 1 1/4 cups cooking oil Fry the tofu until color turns golden brown then set aside. (slice the tofu into cubes)
Sauté the garlic, onion, and tomato.
Once the onion and tomato softens, add the shrimp. Saute for 1 minute.
Add the tofu. Cook for 30 seconds.
Add the mung bean sprouts and carrot. Saute for 1 minute.
Add the bell peppers. Cook for another minute.
Season with oyster sauce and ground black pepper.
Serve hot with rice. Share and enjoy!",mung bean sprout firm carrot julienne shrimp head scale tomato onion bell pepper strip bell pepper strip oyster sauce ground pepper oil turn slice soften
321,Creamy Lengua in White Sauce,"2 1/2 lbs. ox tongue boiled and sliced, 1 cup button mushroom sliced, 1/4 cup butter, 1 piece Knorr Beef Cube, 1 piece onion minced, 1/2 teaspoon garlic powder, 1 cup heavy whipping cream, 1/2 cup Lady’s Choice Mayonnaise, 2 cups water, Salt and ground black pepper to taste","Tenderize the lengua by boiling water in a pot. Add ox tongue and boil for 1 to 1 ½ hours. Remove tongue from the pot. Let it cook down. Peel the skin off and then slice the ox tongue into thin pieces. Set aside.
Melt butter in a pan. Sauté onion.
Add sliced lengua. Sauté for 3 minutes.
Pour water. Let boil.
Add Knorr Beef Cube. Stir. Boil until liquid reduces in half.
Add button mushroom. Cook for 5 minutes.
Pour heavy whipping cream. Add garlic powder. Stir and cook in low to medium heat for 3 to 5 minutes.
Add Lady’s Choice Mayonnaise. Stir until sauce is smooth.
Season with ground black pepper and salt. Cook until sauce thickens.
Transfer to a serving plate. Serve. Share and enjoy!",tongue button mushroom butter knorr beef cube onion teaspoon powder whipping cream lady choice mayonnaise water salt ground pepper,boil boil remove let cook peel slice melt let boil stir reduce pour stir cook stir transfer serve,"2 1/2 lbs. ox tongue boiled and sliced, 1 cup button mushroom sliced, 1/4 cup butter, 1 piece Knorr Beef Cube, 1 piece onion minced, 1/2 teaspoon garlic powder, 1 cup heavy whipping cream, 1/2 cup Lady’s Choice Mayonnaise, 2 cups water, Salt and ground black pepper to taste Tenderize the lengua by boiling water in a pot. Add ox tongue and boil for 1 to 1 ½ hours. Remove tongue from the pot. Let it cook down. Peel the skin off and then slice the ox tongue into thin pieces. Set aside.
Melt butter in a pan. Sauté onion.
Add sliced lengua. Sauté for 3 minutes.
Pour water. Let boil.
Add Knorr Beef Cube. Stir. Boil until liquid reduces in half.
Add button mushroom. Cook for 5 minutes.
Pour heavy whipping cream. Add garlic powder. Stir and cook in low to medium heat for 3 to 5 minutes.
Add Lady’s Choice Mayonnaise. Stir until sauce is smooth.
Season with ground black pepper and salt. Cook until sauce thickens.
Transfer to a serving plate. Serve. Share and enjoy!",tongue button mushroom butter knorr beef cube onion teaspoon powder whipping cream lady choice mayonnaise water salt ground pepper boil boil remove let cook peel slice melt let boil stir reduce pour stir cook stir transfer serve
322,Creamy Garlic Salmon,"1 lb. salmon fillet, 6 ounces cherry tomato, 2 cups spinach, 8 oz. heavy whipping cream, 1 1/4 cup white wine, 1/2 cup grated Parmesan cheese, 1 piece onion minced, 4 cloves garlic minced, 5 tablespoons cooking oil, 3 tablespoons butter, Salt and ground black pepper to taste","Rub salt on the salmon filet. Let it stay for 10 minutes.
Heat oil. Pan-fry the salmon for 3 to 4 minutes per side. Remove from the pan. Set aside.
Melt butter on a clean pan. Saute onion and garlic.
Pour white wine once the onion softens. Let boil.
Add cherry tomato. Cover and cook until the wine reduces to half.
Pour heavy whipping cream and add Parmesan cheese. Stir. Cook for 2 minutes.
Put the fried salmon in the pan. Cook for 3 minutes using low heat.
Season with ground black pepper and salt (if needed).
Add Spinach. Turn off heat. Let the residual heat cook the spinach.
Transfer to a serving plate. Serve. Share and enjoy!",salmon fillet cherry tomato spinach oz whipping cream wine parmesan cheese onion oil,rub let stay fry remove melt pour soften let boil cook reduce pour stir fry need turn let cook transfer serve,"1 lb. salmon fillet, 6 ounces cherry tomato, 2 cups spinach, 8 oz. heavy whipping cream, 1 1/4 cup white wine, 1/2 cup grated Parmesan cheese, 1 piece onion minced, 4 cloves garlic minced, 5 tablespoons cooking oil, 3 tablespoons butter, Salt and ground black pepper to taste Rub salt on the salmon filet. Let it stay for 10 minutes.
Heat oil. Pan-fry the salmon for 3 to 4 minutes per side. Remove from the pan. Set aside.
Melt butter on a clean pan. Saute onion and garlic.
Pour white wine once the onion softens. Let boil.
Add cherry tomato. Cover and cook until the wine reduces to half.
Pour heavy whipping cream and add Parmesan cheese. Stir. Cook for 2 minutes.
Put the fried salmon in the pan. Cook for 3 minutes using low heat.
Season with ground black pepper and salt (if needed).
Add Spinach. Turn off heat. Let the residual heat cook the spinach.
Transfer to a serving plate. Serve. Share and enjoy!",salmon fillet cherry tomato spinach oz whipping cream wine parmesan cheese onion oil rub let stay fry remove melt pour soften let boil cook reduce pour stir fry need turn let cook transfer serve
323,Hamonadong Baboy,"4 lbs pork ham hock, 1 piece Knorr Pork Cube, 2 cups pineapple juice, 1/2 cup soy sauce, 6 pieces pineapple slices, 6 tablespoons brown sugar, 3 to 5 cups water, 1 piece onion minced, 4 cloves garlic minced, 4 tablespoons cooking oil, Ground black pepper to taste","Combine pineapple juice and soy sauce. Stir. Place the ham hock in a large resealable bag and then pour the mixture into it. Let the air out of the bag and seal. Place inside the refrigerator. Marinate overnight.
Heat oil in a pan. Sauté onion and garlic.
Add marinated pork once the onion softens and the garlic starts to brown. Cook one side for one minute. Turn it over and continue to cook for another minute.
Pour remaining marinade into the pan. Add water. Let boil.
Add Knorr Pork Cube. Stir. Cover the pan. Cook between low to medium heat for 1 hour.
Turn the ham hock over. Continue to cook in a covered pan for another hour.
Add brown sugar and pineapple slices.
Cover and continue to cook for 15 minutes.
Season with ground black pepper. Cook until the sauce reduces to half.
Transfer to a serving plate. Serve. Share and enjoy!",pork ham hock knorr pork cube pineapple juice soy sauce pineapple slice sugar water onion oil ground pepper,combine stir place pour let soften start turn cook pour remain let boil stir cover turn cook cover cover cook reduce transfer serve,"4 lbs pork ham hock, 1 piece Knorr Pork Cube, 2 cups pineapple juice, 1/2 cup soy sauce, 6 pieces pineapple slices, 6 tablespoons brown sugar, 3 to 5 cups water, 1 piece onion minced, 4 cloves garlic minced, 4 tablespoons cooking oil, Ground black pepper to taste Combine pineapple juice and soy sauce. Stir. Place the ham hock in a large resealable bag and then pour the mixture into it. Let the air out of the bag and seal. Place inside the refrigerator. Marinate overnight.
Heat oil in a pan. Sauté onion and garlic.
Add marinated pork once the onion softens and the garlic starts to brown. Cook one side for one minute. Turn it over and continue to cook for another minute.
Pour remaining marinade into the pan. Add water. Let boil.
Add Knorr Pork Cube. Stir. Cover the pan. Cook between low to medium heat for 1 hour.
Turn the ham hock over. Continue to cook in a covered pan for another hour.
Add brown sugar and pineapple slices.
Cover and continue to cook for 15 minutes.
Season with ground black pepper. Cook until the sauce reduces to half.
Transfer to a serving plate. Serve. Share and enjoy!",pork ham hock knorr pork cube pineapple juice soy sauce pineapple slice sugar water onion oil ground pepper combine stir place pour let soften start turn cook pour remain let boil stir cover turn cook cover cover cook reduce transfer serve
324,Sarciadong Manok,"2 lbs chicken cut into serving pieces, 4 pieces tomatoe ripe sliced, 2 ounces tomato paste optional, 3/4 cup green peas, 1 tablespoon parsley chopped, 5 pieces dried bay leaves, 1 piece onion chopped, 4 cloves garlic minced, 2 cups chicken broth, 3 tablespoons cooking oil, Fish sauce and ground black pepper to taste","Heat oil in a pan. Saute onion, garlic, and tomato.
Once the onion and tomato soften, add chicken pieces. Continue to cook until the color turns light brown.
Add tomato paste and chicken broth. Let boil.
Put-in dried bay leaves and parsley. Cover and cook between low to medium heat for 35 to 40 minutes. Note: add more water or chicken broth if needed.
Add green peas and season with fish sauce and ground black pepper.
Transfer to a serving bowl. Serve! Share and enjoy.",chicken tomatoe tomato paste optional pea parsley bay onion clove garlic chicken broth oil fish sauce ground pepper,cook turn let boil dry cover cook need transfer serve,"2 lbs chicken cut into serving pieces, 4 pieces tomatoe ripe sliced, 2 ounces tomato paste optional, 3/4 cup green peas, 1 tablespoon parsley chopped, 5 pieces dried bay leaves, 1 piece onion chopped, 4 cloves garlic minced, 2 cups chicken broth, 3 tablespoons cooking oil, Fish sauce and ground black pepper to taste Heat oil in a pan. Saute onion, garlic, and tomato.
Once the onion and tomato soften, add chicken pieces. Continue to cook until the color turns light brown.
Add tomato paste and chicken broth. Let boil.
Put-in dried bay leaves and parsley. Cover and cook between low to medium heat for 35 to 40 minutes. Note: add more water or chicken broth if needed.
Add green peas and season with fish sauce and ground black pepper.
Transfer to a serving bowl. Serve! Share and enjoy.",chicken tomatoe tomato paste optional pea parsley bay onion clove garlic chicken broth oil fish sauce ground pepper cook turn let boil dry cover cook need transfer serve
325,Rellenong Pusit,"2 pieces squid large, cleaned and gutted, 1/2 lb ground pork, 1 piece carrot diced or minced, 2 stalks celery chopped, 1 piece onion minced, 4 cloves garlic minced, 1 piece tomato diced, 1 piece lemon, 1/2 cup soy sauce, Salt and ground black pepper to taste, 1 piece egg beaten, 1/2 cup all-purpose flour, 10 tablespoons cooking oil","Combine squid, soy sauce, and juice from 1 piece lemon and marinade for 30 minutes.
Heat a pan and pour-in 3 tablespoons cooking oil.
Sauté garlic, onion, celery, and tomato.
Put-in the ground pork and cook until the color turns light brown (about 5 minutes).
Add carrots, salt and ground black pepper then stir. Cook for 10 to 15 minutes. Turn-off heat and let cool.
Stuff the marinated squid with the cooked ground pork. Insert toothpicks at the opening of the squid to secure the filling.
Dip the stuffed squid in beaten egg then dredge in flour. Set aside.
Heat another pan and pour-in 7 tablespoons of cooking oil.
Pan-fry the squid. Cook each side for 3 to 5 minutes. Note: Do not overcook the squid so that it will remain tender.
Transfer the cooked squid in a serving plate and serve.
Share and enjoy!",squid ground pork stalk celery onion clove tomato lemon soy sauce salt ground pepper egg purpose flour oil,heat pour cook cook turn stir let insert secure Dip stuff beat dredge heat pour cook fry note overcook remain transfer cook serve,"2 pieces squid large, cleaned and gutted, 1/2 lb ground pork, 1 piece carrot diced or minced, 2 stalks celery chopped, 1 piece onion minced, 4 cloves garlic minced, 1 piece tomato diced, 1 piece lemon, 1/2 cup soy sauce, Salt and ground black pepper to taste, 1 piece egg beaten, 1/2 cup all-purpose flour, 10 tablespoons cooking oil Combine squid, soy sauce, and juice from 1 piece lemon and marinade for 30 minutes.
Heat a pan and pour-in 3 tablespoons cooking oil.
Sauté garlic, onion, celery, and tomato.
Put-in the ground pork and cook until the color turns light brown (about 5 minutes).
Add carrots, salt and ground black pepper then stir. Cook for 10 to 15 minutes. Turn-off heat and let cool.
Stuff the marinated squid with the cooked ground pork. Insert toothpicks at the opening of the squid to secure the filling.
Dip the stuffed squid in beaten egg then dredge in flour. Set aside.
Heat another pan and pour-in 7 tablespoons of cooking oil.
Pan-fry the squid. Cook each side for 3 to 5 minutes. Note: Do not overcook the squid so that it will remain tender.
Transfer the cooked squid in a serving plate and serve.
Share and enjoy!",squid ground pork stalk celery onion clove tomato lemon soy sauce salt ground pepper egg purpose flour oil heat pour cook cook turn stir let insert secure Dip stuff beat dredge heat pour cook fry note overcook remain transfer cook serve
326,Seared Shrimp Macaroni Salad with Roasted Bell Pepper,"18 pieces shrimp head and shell removed, ½ lb. Elbow macaroni, 1 piece red bell pepper, 1 piece green bell pepper, 1 stalk celery chopped, 1 teaspoon cooking oil, 1 cup Lady’s Choice Mayonnaise, 1 ½ teaspoon onion powder, ½ teaspoon ground black pepper, 1 teaspoon salt, 1 piece lemon or ¼ cup sweet pickle relish","Cook the elbow macaroni based on package instructions. Set aside.
Roast the bell peppers on the stovetop. Arrange the sliced peppers on the burner grate and directly roast with fire until the pepper softens. Wash with running water while scraping burns on the outer layer. Chop and set aside.
Heat a teaspoon of oil in a pan or cooking pot. Sear the fresh shrimp for 2 to 3 minutes or until it turns orangey. Remove from the pan. Chop into pieces. Set aside.
Prepare the dressing by arranging a cup of Lady’s Choice Mayonnaise in a large bowl. Add all the salad dressing ingredients. Stir until blended. Set aside.
Assemble the shrimp macaroni salad by combining macaroni, seared shrimp, celery, and roasted bell peppers in a large bowl. Toss until all ingredients are well distributed. Pour salad dressing into the bowl. Fold until well blended.
Transfer to a serving bowl. Serve. Share and enjoy!",shrimp head shell elbow macaroni bell pepper bell pepper stalk celery teaspoon cooking oil lady choice mayonnaise teaspoon onion powder teaspoon salt,cook base roast arrange roast soften wash run scrape heat sear turn remove prepare arrange stir blend assemble combine sear toss distribute pour fold blend transfer serve,"18 pieces shrimp head and shell removed, ½ lb. Elbow macaroni, 1 piece red bell pepper, 1 piece green bell pepper, 1 stalk celery chopped, 1 teaspoon cooking oil, 1 cup Lady’s Choice Mayonnaise, 1 ½ teaspoon onion powder, ½ teaspoon ground black pepper, 1 teaspoon salt, 1 piece lemon or ¼ cup sweet pickle relish Cook the elbow macaroni based on package instructions. Set aside.
Roast the bell peppers on the stovetop. Arrange the sliced peppers on the burner grate and directly roast with fire until the pepper softens. Wash with running water while scraping burns on the outer layer. Chop and set aside.
Heat a teaspoon of oil in a pan or cooking pot. Sear the fresh shrimp for 2 to 3 minutes or until it turns orangey. Remove from the pan. Chop into pieces. Set aside.
Prepare the dressing by arranging a cup of Lady’s Choice Mayonnaise in a large bowl. Add all the salad dressing ingredients. Stir until blended. Set aside.
Assemble the shrimp macaroni salad by combining macaroni, seared shrimp, celery, and roasted bell peppers in a large bowl. Toss until all ingredients are well distributed. Pour salad dressing into the bowl. Fold until well blended.
Transfer to a serving bowl. Serve. Share and enjoy!",shrimp head shell elbow macaroni bell pepper bell pepper stalk celery teaspoon cooking oil lady choice mayonnaise teaspoon onion powder teaspoon salt cook base roast arrange roast soften wash run scrape heat sear turn remove prepare arrange stir blend assemble combine sear toss distribute pour fold blend transfer serve
327,Easy Liempo Inihaw,"2 1/2 lbs pork belly, 3 tablespoons Knorr SavorRich Pork Liquid Seasoning, 5 tablespoons soy sauce, 3 tablespoons banana ketchup, 1/2 piece lemon or 3 pieces calamansi, 1/2 teaspoon ground black pepper, 5 cloves garlic crushed, 4 tablespoons soy sauce, 2 tablespoons banana ketchup, 1 teaspoon lemon juice, 1 tablespoon cooking oil","Arrange pork belly in a large bowl. Add all marinade ingredients including Knorr SavorRich Pork Liquid Seasoning. Mix well. Let it stay for at least 30 minutes.
Prepare the basting sauce by combining all basting sauce ingredients in a bowl. Stir until well blended. Set aside.
Heat-up the grill. Start to grill the marinated liempo for 3 minutes. Brush basting sauce on the top part and the turn it. Baste and grill the opposite side for 3 minutes. Perform these steps with the same duration of grilling until the liempo gets medium brown. Note: it usually takes 3 cycles to completely cook the pork belly.
Remove from the grill. Let the liempo cool down. Slice into serving pieces.
Serve with spicy vinegar and papaya atchara. Share and enjoy!",pork belly knorr savorrich pork liquid seasoning soy sauce banana ketchup lemon calamansi teaspoon ground pepper clove garlic soy sauce banana ketchup teaspoon lemon juice cooking oil,include mix let stay prepare baste combine baste stir blend grill baste grill perform get take cook remove let cool serve,"2 1/2 lbs pork belly, 3 tablespoons Knorr SavorRich Pork Liquid Seasoning, 5 tablespoons soy sauce, 3 tablespoons banana ketchup, 1/2 piece lemon or 3 pieces calamansi, 1/2 teaspoon ground black pepper, 5 cloves garlic crushed, 4 tablespoons soy sauce, 2 tablespoons banana ketchup, 1 teaspoon lemon juice, 1 tablespoon cooking oil Arrange pork belly in a large bowl. Add all marinade ingredients including Knorr SavorRich Pork Liquid Seasoning. Mix well. Let it stay for at least 30 minutes.
Prepare the basting sauce by combining all basting sauce ingredients in a bowl. Stir until well blended. Set aside.
Heat-up the grill. Start to grill the marinated liempo for 3 minutes. Brush basting sauce on the top part and the turn it. Baste and grill the opposite side for 3 minutes. Perform these steps with the same duration of grilling until the liempo gets medium brown. Note: it usually takes 3 cycles to completely cook the pork belly.
Remove from the grill. Let the liempo cool down. Slice into serving pieces.
Serve with spicy vinegar and papaya atchara. Share and enjoy!",pork belly knorr savorrich pork liquid seasoning soy sauce banana ketchup lemon calamansi teaspoon ground pepper clove garlic soy sauce banana ketchup teaspoon lemon juice cooking oil include mix let stay prepare baste combine baste stir blend grill baste grill perform get take cook remove let cool serve
328,Quick and Easy Pan-Fried Pork Chops,"3 pieces pork chops, 3 tablespoons Knorr SavorRich Pork Liquid Seasoning, 1 piece egg, 3/4 cup all-purpose flour, 10 tablespoons Panko bread crumbs, 2 cups cooking oil","Lay the pork chops flat on a large plate. Brush Knorr SavorRich Pork Liquid Seasoning on both sides of each pork chop. Let it stay for at least 15 minutes.
Prepare the basic fried pork chop by heating 4 tablespoons of oil in pan. Once the oil gets hot, pan-fry one piece of marinated pork chop in medium heat for 30 seconds. Adjust the heat to low and continue to fry for 7 to 8 minutes. Turn the pork chop over and so the same step on the opposite side. Remove from the pan. Set aside.
Start to prepare the flour coated fried pork chop by heating the remaining oil in a pan. Beat a piece of egg in a bowl. Dredge one piece of marinated pork chop in all-purpose flour and then dip in beaten egg. Dredge the pork chop back in flour and then fry one side in medium heat for 6 minutes. Flip and continue to fry the other side for the same amount of time. Remove from the pan and place on a plate lined with paper towel. Set aside.
Prepare the breaded pork chop by dredging the remaining pork in flour. Dip in beaten egg and then dredge in Panko bread crumbs. Fry in medium heat for 6 minutes per side. Remove from the pan and place on a plate lined with paper towel.
Arrange all pan-fried pork chops in a large serving plate. Serve! Share and enjoy!",pork chop knorr savorrich pork liquid seasoning egg purpose flour panko bread crumb oil,lay let stay prepare fry heat get fry low fry turn chop remove prepare coat fry heat remain beat dip beat dredge chop fry flip fry remove line prepare bread dredge remain beat dredge remove line arrange fry serve,"3 pieces pork chops, 3 tablespoons Knorr SavorRich Pork Liquid Seasoning, 1 piece egg, 3/4 cup all-purpose flour, 10 tablespoons Panko bread crumbs, 2 cups cooking oil Lay the pork chops flat on a large plate. Brush Knorr SavorRich Pork Liquid Seasoning on both sides of each pork chop. Let it stay for at least 15 minutes.
Prepare the basic fried pork chop by heating 4 tablespoons of oil in pan. Once the oil gets hot, pan-fry one piece of marinated pork chop in medium heat for 30 seconds. Adjust the heat to low and continue to fry for 7 to 8 minutes. Turn the pork chop over and so the same step on the opposite side. Remove from the pan. Set aside.
Start to prepare the flour coated fried pork chop by heating the remaining oil in a pan. Beat a piece of egg in a bowl. Dredge one piece of marinated pork chop in all-purpose flour and then dip in beaten egg. Dredge the pork chop back in flour and then fry one side in medium heat for 6 minutes. Flip and continue to fry the other side for the same amount of time. Remove from the pan and place on a plate lined with paper towel. Set aside.
Prepare the breaded pork chop by dredging the remaining pork in flour. Dip in beaten egg and then dredge in Panko bread crumbs. Fry in medium heat for 6 minutes per side. Remove from the pan and place on a plate lined with paper towel.
Arrange all pan-fried pork chops in a large serving plate. Serve! Share and enjoy!",pork chop knorr savorrich pork liquid seasoning egg purpose flour panko bread crumb oil lay let stay prepare fry heat get fry low fry turn chop remove prepare coat fry heat remain beat dip beat dredge chop fry flip fry remove line prepare bread dredge remain beat dredge remove line arrange fry serve
329,Super Tasty Chop Suey,"5 ounces chicken breast sliced, 2 ounces chicken liver sliced, 3 tablespoons Knorr SavorRich Chicken Liquid Seasoning, 1 head cauliflower chopped, 15 pieces snap peas, 1 piece carrot sliced, 1 piece green bell pepper sliced, 1 piece red bell pepper sliced, 1 piece onion sliced, 4 cloves garlic minced, 1/2 cup water, 1 1/2 teaspoon cornstarch diliuted in 1/3 cup water, 3 tablespoons cooking oil, ground black pepper to taste","Heat oil in a pan.
Saute onion and garllic until onion softens.
Add chicken breast. Saute until light brown.
Add chicken liver. Cook for 1 minute.
Pour water. Let boil. Cover and cook for 5 minutes.
Add carrot, cauliflower, and snap peas. Cook for 3 minutes.
Add bell peppers. Cover the pan. Cook for 3 minutes.
Add cabbage. Toss. Cook for 2 minutes.
Pour water with cornstarch. Stir.
Season with Knorr SavrorRich Chicken liquid seasoning and ground black pepper.
Transfer to a serving plate. Serve!
Share and enjoy!",chicken breast chicken liver knorr savorrich chicken liquid seasoning head cauliflower pea carrot bell pepper bell pepper onion clove garlic mince water teaspoon cornstarch water oil ground pepper,soften let boil cover cook snap cover toss pour stir transfer serve,"5 ounces chicken breast sliced, 2 ounces chicken liver sliced, 3 tablespoons Knorr SavorRich Chicken Liquid Seasoning, 1 head cauliflower chopped, 15 pieces snap peas, 1 piece carrot sliced, 1 piece green bell pepper sliced, 1 piece red bell pepper sliced, 1 piece onion sliced, 4 cloves garlic minced, 1/2 cup water, 1 1/2 teaspoon cornstarch diliuted in 1/3 cup water, 3 tablespoons cooking oil, ground black pepper to taste Heat oil in a pan.
Saute onion and garllic until onion softens.
Add chicken breast. Saute until light brown.
Add chicken liver. Cook for 1 minute.
Pour water. Let boil. Cover and cook for 5 minutes.
Add carrot, cauliflower, and snap peas. Cook for 3 minutes.
Add bell peppers. Cover the pan. Cook for 3 minutes.
Add cabbage. Toss. Cook for 2 minutes.
Pour water with cornstarch. Stir.
Season with Knorr SavrorRich Chicken liquid seasoning and ground black pepper.
Transfer to a serving plate. Serve!
Share and enjoy!",chicken breast chicken liver knorr savorrich chicken liquid seasoning head cauliflower pea carrot bell pepper bell pepper onion clove garlic mince water teaspoon cornstarch water oil ground pepper soften let boil cover cook snap cover toss pour stir transfer serve
330,Crispy Fried Chicken,"2 ½ lbs chicken cut into serving pieces, 4 tablespoons Knorr SavorRich Chicken Liquid Seasoning, 2 pieces eggs beaten, 3/4 cup all-purpose flour, 1/4 teaspoon ground white pepper, 3 cups cooking oil","Combine chicken, Knorr SavorRich Chicken Liquid Seasoning, and ground white pepper in a large bowl. Mix well. Let it stay for at least 30 minutes.
Heat oil in a pan until it the temperature reaches 350F Note: use a kitchen thermometer to measure the temp.
Prepare the marinated chicken for frying by dredging in flour and then sipping in beaten eggs. Dredge the chicken with flour again.
Fry one side for 6 minutes. Turn the chicken over and continue to fry the opposite side for 5 minutes. Turn it over again and fry the other side for 1 minute. Remove the crispy fried chicken from the pan and arrange on a wire rack. Let excess oil drip.
Transfer to a serving plate. Serve. Share and enjoy!",chicken knorr savorrich chicken liquid seasoning egg purpose flour teaspoon ground pepper oil,ground mix let stay reach use measure prepare fry dredge sip beat dredge turn fry turn fry remove fry arrange let transfer serve,"2 ½ lbs chicken cut into serving pieces, 4 tablespoons Knorr SavorRich Chicken Liquid Seasoning, 2 pieces eggs beaten, 3/4 cup all-purpose flour, 1/4 teaspoon ground white pepper, 3 cups cooking oil Combine chicken, Knorr SavorRich Chicken Liquid Seasoning, and ground white pepper in a large bowl. Mix well. Let it stay for at least 30 minutes.
Heat oil in a pan until it the temperature reaches 350F Note: use a kitchen thermometer to measure the temp.
Prepare the marinated chicken for frying by dredging in flour and then sipping in beaten eggs. Dredge the chicken with flour again.
Fry one side for 6 minutes. Turn the chicken over and continue to fry the opposite side for 5 minutes. Turn it over again and fry the other side for 1 minute. Remove the crispy fried chicken from the pan and arrange on a wire rack. Let excess oil drip.
Transfer to a serving plate. Serve. Share and enjoy!",chicken knorr savorrich chicken liquid seasoning egg purpose flour teaspoon ground pepper oil ground mix let stay reach use measure prepare fry dredge sip beat dredge turn fry turn fry remove fry arrange let transfer serve
331,Ginisang Sayote,"3 pieces sayote sliced, 16 g sachet Knorr Pork SavorRich Pork Liquid Seasoning, 1 piece carrot sliced into strips, 5 ounces pork belly sliced into thin pieces, 1 piece onion chopped, 5 cloves garlic crushed and minced, 1 3/4 cups water, Ground black pepper to taste","Heat a cooking pot. Sear pork until brown and oil is extracted.
Add onion and garlic. Saute until onion softens.
Pour 1 ½ cups water. Let boil. Cover the pot and continue to boil in low heat until liquid completely evaporates.
Add chayote and saute for 2 to 3 minutes.
Add carrots. Saute for 2 minutes.
Pour Knorr Pork SavorRich Liquid Seasoning. Stir.
Add ground black pepper (optional). Pour ¼ cup water. Cover the pot. Cook for 1 minute.
Transfer to a serving plate. Serve!
Share and enjoy!",sayote g sachet knorr pork savorrich pork liquid seasoning carrot strip pork belly onion,heat extract soften let boil cover boil evaporate saute pour stir pour cover transfer serve,"3 pieces sayote sliced, 16 g sachet Knorr Pork SavorRich Pork Liquid Seasoning, 1 piece carrot sliced into strips, 5 ounces pork belly sliced into thin pieces, 1 piece onion chopped, 5 cloves garlic crushed and minced, 1 3/4 cups water, Ground black pepper to taste Heat a cooking pot. Sear pork until brown and oil is extracted.
Add onion and garlic. Saute until onion softens.
Pour 1 ½ cups water. Let boil. Cover the pot and continue to boil in low heat until liquid completely evaporates.
Add chayote and saute for 2 to 3 minutes.
Add carrots. Saute for 2 minutes.
Pour Knorr Pork SavorRich Liquid Seasoning. Stir.
Add ground black pepper (optional). Pour ¼ cup water. Cover the pot. Cook for 1 minute.
Transfer to a serving plate. Serve!
Share and enjoy!",sayote g sachet knorr pork savorrich pork liquid seasoning carrot strip pork belly onion heat extract soften let boil cover boil evaporate saute pour stir pour cover transfer serve
332,Ginataang Mackerel,"30 ounces mackerel canned in brine, 1 bunch spinach, 2 cups coconut milk, 5 pieces Thai chili pepper optional, 3 thumbs ginger sliced into thin strips, 1 piece onion chopped, 5 cloves garlic minced, ½ cup water, ¼ cup white vinegar, 3 tablespoons cooking oil, Fish sauce and ground black pepper to taste","Heat oil in a cooking pot.
Saute onion, garlic, and ginger until garlic browns and onion softens.
Pour coconut milk into the cooking pot. Add chili pepper.Stir. Cover the pot and cook for 5 minutes.
Add mackerel. Pour water and vinegar into the pot. Let boil. Stir and cover the pot. Cook for 5 to 7 minutes.
Season with fish sauce and ground black pepper.
Add spinach. Cook for 1 minute.
Transfer to a serving plate. Serve.
Share and enjoy!",mackerel brine bunch spinach coconut milk thai chili pepper optional thumb ginger strip onion clove garlic mince water vinegar oil fish sauce ground pepper,soften pour stir cover cook let boil stir cover transfer serve,"30 ounces mackerel canned in brine, 1 bunch spinach, 2 cups coconut milk, 5 pieces Thai chili pepper optional, 3 thumbs ginger sliced into thin strips, 1 piece onion chopped, 5 cloves garlic minced, ½ cup water, ¼ cup white vinegar, 3 tablespoons cooking oil, Fish sauce and ground black pepper to taste Heat oil in a cooking pot.
Saute onion, garlic, and ginger until garlic browns and onion softens.
Pour coconut milk into the cooking pot. Add chili pepper.Stir. Cover the pot and cook for 5 minutes.
Add mackerel. Pour water and vinegar into the pot. Let boil. Stir and cover the pot. Cook for 5 to 7 minutes.
Season with fish sauce and ground black pepper.
Add spinach. Cook for 1 minute.
Transfer to a serving plate. Serve.
Share and enjoy!",mackerel brine bunch spinach coconut milk thai chili pepper optional thumb ginger strip onion clove garlic mince water vinegar oil fish sauce ground pepper soften pour stir cover cook let boil stir cover transfer serve
